type,entry,sl,tp,profit,balance,result,time,hour,session
BUY,4332.677,4332.677,4339.428417524119,0.0,1000.0,BE,2025-12-18 21:57:00,21,NewYork
SELL,4332.316,4332.316,4319.531207695637,12.0,1012.0,WIN,2025-12-19 00:08:00,0,Tokyo
BUY,4323.974,4320.365216667338,4338.409133330648,-3.036,1008.964,LOSS,2025-12-19 02:01:00,2,Tokyo
SELL,4319.281,4323.980612953768,4300.482548184927,-3.026892,1005.9371080000001,LOSS,2025-12-19 02:38:00,2,Tokyo
BUY,4322.507,4317.052558003728,4344.324767985085,-3.017811324,1002.919296676,LOSS,2025-12-19 03:32:00,3,Tokyo
SELL,4317.797,4319.674088594118,4310.288645623526,-3.0087578900280003,999.910538785972,LOSS,2025-12-19 04:03:00,4,Tokyo
BUY,4319.552,4317.709635348743,4326.921458605026,-2.999731616357916,996.910807169614,LOSS,2025-12-19 04:07:00,4,Tokyo
SELL,4317.802,4319.75987265837,4309.970509366518,-2.990732421508842,993.9200747481052,LOSS,2025-12-19 04:26:00,4,Tokyo
BUY,4321.016,4317.731536680596,4334.153853277614,-2.9817602242443155,990.9383145238609,LOSS,2025-12-19 04:40:00,4,Tokyo
SELL,4318.972,4321.2494932825975,4309.862026869609,-2.9728149435715827,987.9654995802892,LOSS,2025-12-19 05:20:00,5,Tokyo
BUY,4322.97,4322.97,4337.577067538353,0.0,987.9654995802892,BE,2025-12-19 05:32:00,5,Tokyo
SELL,4324.241,4326.880663142036,4313.682347431857,-2.963896498740868,985.0016030815484,LOSS,2025-12-19 06:41:00,6,Tokyo
BUY,4326.6179999999995,4324.4939992103045,4335.114003158779,-2.9550048092446453,982.0465982723038,LOSS,2025-12-19 07:00:00,7,London
SELL,4323.748,4326.379233055304,4313.223067778781,-2.9461397948169115,979.1004584774869,LOSS,2025-12-19 07:01:00,7,London
BUY,4327.402,4324.34854625687,4339.615814972522,-2.937301375432461,976.1631571020545,LOSS,2025-12-19 07:13:00,7,London
SELL,4324.871,4327.145803203814,4315.771787184746,-2.9284894713061633,973.2346676307483,LOSS,2025-12-19 07:48:00,7,London
BUY,4325.125,4325.125,4331.45283010136,0.0,973.2346676307483,BE,2025-12-19 08:30:00,8,London
SELL,4327.518,4327.518,4317.740155053081,0.0,973.2346676307483,BE,2025-12-19 10:30:00,10,London
BUY,4328.762,4326.816673943686,4336.543304225256,-2.919704002892245,970.3149636278561,LOSS,2025-12-19 11:01:00,11,London
SELL,4326.542,4328.72073955007,4317.827041799722,-2.9109448908835684,967.4040187369725,LOSS,2025-12-19 11:08:00,11,London
BUY,4328.3949999999995,4326.220117342975,4337.094530628098,-2.9022120562109177,964.5018066807615,LOSS,2025-12-19 11:49:00,11,London
SELL,4326.187,4326.187,4317.599631194791,0.0,964.5018066807615,BE,2025-12-19 12:02:00,12,London
BUY,4328.092,4324.755532502672,4341.437869989309,-2.8935054200422847,961.6083012607193,LOSS,2025-12-19 12:41:00,12,London
SELL,4324.838,4326.84470053364,4316.811197865438,-2.884824903782158,958.7234763569371,LOSS,2025-12-19 12:53:00,12,London
BUY,4326.956,4326.956,4335.479757165182,0.0,958.7234763569371,BE,2025-12-19 13:02:00,13,London
SELL,4329.753,4329.753,4322.74000695491,0.0,958.7234763569371,BE,2025-12-19 13:57:00,13,London
BUY,4333.538,4329.392171853206,4350.121312587175,-2.8761704290708114,955.8473059278663,LOSS,2025-12-19 14:08:00,14,NewYork
SELL,4327.35,4331.167501451931,4312.07999419228,-2.867541917783599,952.9797640100827,LOSS,2025-12-19 14:12:00,14,NewYork
BUY,4335.037,4328.805296186903,4359.963815252388,-2.8589392920302483,950.1208247180524,LOSS,2025-12-19 14:36:00,14,NewYork
SELL,4324.927,4331.300780605718,4299.431877577128,-2.8503624741541573,947.2704622438982,LOSS,2025-12-19 14:49:00,14,NewYork
BUY,4332.704,4332.704,4346.675033982168,11.36724554692678,958.6377077908251,WIN,2025-12-19 15:00:00,15,NewYork
SELL,4349.297,4349.297,4331.752304883424,0.0,958.6377077908251,BE,2025-12-19 18:37:00,18,NewYork
BUY,4340.684,4340.684,4352.176633587877,11.5036524934899,970.1413602843149,WIN,2025-12-21 23:06:00,23,Sydney
SELL,4400.956,4402.845010848152,4393.399956607393,-2.9104240808529447,967.230936203462,LOSS,2025-12-22 06:08:00,6,Tokyo
BUY,4404.315,4400.928032237279,4417.862871050883,-2.901692808610386,964.3292433948516,LOSS,2025-12-22 06:13:00,6,Tokyo
SELL,4400.179,4403.11307957192,4388.44268171232,-2.892987730184555,961.436255664667,LOSS,2025-12-22 06:28:00,6,Tokyo
BUY,4404.427,4404.427,4417.408732911481,11.537235067976004,972.973490732643,WIN,2025-12-22 06:35:00,6,Tokyo
SELL,4412.979,4412.979,4405.904669124703,0.0,972.973490732643,BE,2025-12-22 08:03:00,8,London
BUY,4412.577,4409.501235443788,4424.8800582248505,-2.918920472197929,970.0545702604451,LOSS,2025-12-22 09:14:00,9,London
SELL,4411.51,4411.51,4401.286521118343,0.0,970.0545702604451,BE,2025-12-22 10:30:00,10,London
BUY,4410.468,4408.7921577201505,4417.171369119397,-2.9101637107813354,967.1444065496637,LOSS,2025-12-22 11:38:00,11,London
SELL,4409.293,4410.90156181655,4402.858752733797,-2.9014332196489914,964.2429733300147,LOSS,2025-12-22 11:51:00,11,London
BUY,4411.905,4408.88152130488,4423.998914780478,-2.892728919990044,961.3502444100246,LOSS,2025-12-22 12:01:00,12,London
SELL,4407.802,4411.042394431901,4394.840422272395,-2.8840507332300738,958.4661936767945,LOSS,2025-12-22 12:13:00,12,London
BUY,4411.706999999999,4411.706999999999,4423.5225703156,11.501594324121534,969.9677880009161,WIN,2025-12-22 12:49:00,12,London
SELL,4419.036,4424.465447130752,4397.318211476992,-2.9099033640027487,967.0578846369134,LOSS,2025-12-22 14:36:00,14,NewYork
BUY,4428.0,4422.1982246250955,4451.207101499618,-2.9011736539107402,964.1567109830027,LOSS,2025-12-22 14:48:00,14,NewYork
SELL,4419.22,4424.350822967035,4398.696708131861,-2.892470132949008,961.2642408500536,LOSS,2025-12-22 15:00:00,15,NewYork
BUY,4424.8189999999995,4424.8189999999995,4445.728892112005,11.535170890200643,972.7994117402543,WIN,2025-12-22 15:38:00,15,NewYork
SELL,4435.421,4438.301557481942,4423.898770072234,-2.918398235220763,969.8810135050336,LOSS,2025-12-22 17:32:00,17,NewYork
BUY,4438.241,4435.868863529931,4447.729545880275,-2.909643040515101,966.9713704645185,LOSS,2025-12-22 17:54:00,17,NewYork
SELL,4434.991,4437.932585074297,4423.224659702812,-2.9009141113935555,964.0704563531249,LOSS,2025-12-22 18:08:00,18,NewYork
BUY,4438.443,4435.979735306063,4448.296058775749,-2.8922113690593747,961.1782449840655,LOSS,2025-12-22 18:19:00,18,NewYork
SELL,4436.187,4436.187,4429.221593331118,0.0,961.1782449840655,BE,2025-12-22 18:27:00,18,NewYork
BUY,4433.199,4433.199,4439.443139872305,0.0,961.1782449840655,BE,2025-12-22 19:58:00,19,NewYork
SELL,4432.156,4435.414284581442,4419.122861674231,-2.8835347349521965,958.2947102491133,LOSS,2025-12-22 20:29:00,20,NewYork
BUY,4434.967,4434.967,4442.063903390291,11.499536522989361,969.7942467721027,WIN,2025-12-22 20:47:00,20,NewYork
SELL,4486.426,4486.426,4466.9628204546,0.0,969.7942467721027,BE,2025-12-23 03:15:00,3,Tokyo
BUY,4477.894,4477.894,4488.300589774903,11.637530961265233,981.431777733368,WIN,2025-12-23 06:50:00,6,Tokyo
SELL,4486.715,4486.715,4474.923650550223,0.0,981.431777733368,BE,2025-12-23 09:07:00,9,London
BUY,4484.178,4481.693003633034,4494.117985467863,-2.944295333200104,978.4874824001679,LOSS,2025-12-23 10:13:00,10,London
SELL,4482.482,4484.620037545252,4473.929849818993,-2.9354624472005035,975.5520199529674,LOSS,2025-12-23 10:42:00,10,London
BUY,4484.873,4484.873,4493.713421256529,11.706624239435609,987.258644192403,WIN,2025-12-23 10:51:00,10,London
SELL,4483.736,4485.208426932735,4477.846292269059,-2.961775932577209,984.2968682598258,LOSS,2025-12-23 11:26:00,11,London
BUY,4486.161,4486.161,4497.6895768093855,0.0,984.2968682598258,BE,2025-12-23 11:39:00,11,London
SELL,4484.781,4488.722835070288,4469.0136597188475,-2.9528906047794776,981.3439776550464,LOSS,2025-12-23 12:17:00,12,London
BUY,4489.03,4489.03,4502.566957133357,0.0,981.3439776550464,BE,2025-12-23 12:52:00,12,London
SELL,4486.547,4490.239144982585,4471.77842006966,-2.944031932965139,978.3999457220813,LOSS,2025-12-23 13:38:00,13,London
BUY,4455.0019999999995,4455.0019999999995,4479.2588372771415,11.740799348664975,990.1407450707462,WIN,2025-12-23 15:43:00,15,NewYork
SELL,4471.615,4474.8743894725085,4458.577442109965,-2.9704222352122387,987.170322835534,LOSS,2025-12-23 17:57:00,17,NewYork
BUY,4475.927,4472.931101977021,4487.910592091914,-2.961510968506602,984.2088118670274,LOSS,2025-12-23 18:04:00,18,NewYork
SELL,4489.877,4492.721418876692,4478.499324493234,-2.9526264356010823,981.2561854314263,LOSS,2025-12-23 20:40:00,20,NewYork
BUY,4493.072,4493.072,4502.15781654722,0.0,981.2561854314263,BE,2025-12-23 20:46:00,20,NewYork
SELL,4491.675,4491.675,4483.408762629556,0.0,981.2561854314263,BE,2025-12-23 21:13:00,21,NewYork
BUY,4492.981,4492.981,4508.7981114265785,11.775074225177116,993.0312596566034,WIN,2025-12-23 23:12:00,23,Sydney
SELL,4511.418,4511.418,4476.636711900444,11.91637511587924,1004.9476347724826,WIN,2025-12-24 02:05:00,2,Tokyo
BUY,4496.458,4493.002101704905,4510.281593180379,-3.014842904317448,1001.9327918681652,LOSS,2025-12-24 04:24:00,4,Tokyo
SELL,4490.849,4497.706053280734,4463.420786877066,-3.0057983756044955,998.9269934925607,LOSS,2025-12-24 05:07:00,5,Tokyo
BUY,4494.98,4493.223376790087,4502.00649283965,-2.996780980477682,995.930212512083,LOSS,2025-12-24 05:48:00,5,Tokyo
SELL,4490.529,4495.242116596082,4471.676533615673,-2.987790637536249,992.9424218745468,LOSS,2025-12-24 05:56:00,5,Tokyo
BUY,4497.296,4489.86499944251,4527.02000222996,-2.9788272656236403,989.9635946089231,LOSS,2025-12-24 06:37:00,6,Tokyo
SELL,4491.615,4491.615,4482.328765170432,11.879563135307079,1001.8431577442302,WIN,2025-12-24 07:30:00,7,London
BUY,4490.03,4485.748769010063,4507.154923959745,-3.005529473232691,998.8376282709975,LOSS,2025-12-24 08:41:00,8,London
SELL,4483.09,4488.115435908119,4462.988256367524,-2.9965128848129927,995.8411153861845,LOSS,2025-12-24 08:55:00,8,London
BUY,4491.421,4485.460693070332,4515.262227718673,-2.9875233461585533,992.8535920400259,LOSS,2025-12-24 09:17:00,9,London
SELL,4485.924,4493.6365025387495,4455.073989845002,-2.978560776120078,989.8750312639058,LOSS,2025-12-24 10:34:00,10,London
BUY,4490.764999999999,4486.798432391542,4506.631270433831,-2.9696250937917177,986.9054061701141,LOSS,2025-12-24 11:53:00,11,London
SELL,4489.967,4492.912069720833,4478.186721116667,-2.9607162185103424,983.9446899516038,LOSS,2025-12-24 12:46:00,12,London
BUY,4487.678,4484.021892082525,4502.302431669901,-2.9518340698548116,980.9928558817489,LOSS,2025-12-24 13:55:00,13,London
SELL,4484.003,4486.821131455867,4472.730474176532,-2.9429785676452465,978.0498773141037,LOSS,2025-12-24 14:19:00,14,NewYork
BUY,4470.6179999999995,4470.6179999999995,4504.919515924551,11.736598527769244,989.786475841873,WIN,2025-12-24 16:09:00,16,NewYork
SELL,4477.557,4480.818256744217,4464.51197302313,-2.9693594275256188,986.8171164143473,LOSS,2025-12-24 18:09:00,18,NewYork
BUY,4481.8099999999995,4481.8099999999995,4494.374430544451,11.841805396972168,998.6589218113195,WIN,2025-12-24 18:24:00,18,NewYork
SELL,4500.837,4513.094164333097,4451.808342667614,-2.9959767654339586,995.6629450458855,LOSS,2025-12-26 01:43:00,1,Tokyo
BUY,4507.0199999999995,4501.962682552918,4527.249269788327,-2.9869888351376566,992.6759562107478,LOSS,2025-12-26 02:57:00,2,Tokyo
SELL,4498.296,4507.17253195488,4462.789872180483,-2.9780278686322434,989.6979283421156,LOSS,2025-12-26 03:33:00,3,Tokyo
BUY,4507.266,4507.266,4523.275217213111,11.876375140105386,1001.574303482221,WIN,2025-12-26 04:11:00,4,Tokyo
SELL,4506.67,4509.3605844045305,4495.907662381878,-3.004722910446663,998.5695805717744,LOSS,2025-12-26 05:27:00,5,Tokyo
BUY,4512.822,4507.526195230092,4534.005219079634,-2.9957087417153234,995.573871830059,LOSS,2025-12-26 05:31:00,5,Tokyo
SELL,4510.196,4515.2876962184555,4489.829215126178,-2.9867216154901772,992.5871502145689,LOSS,2025-12-26 06:56:00,6,Tokyo
BUY,4515.1089999999995,4512.747897082943,4524.553411668224,-2.9777614506437065,989.6093887639252,LOSS,2025-12-26 07:17:00,7,London
SELL,4512.203,4514.640519155945,4502.452923376221,-2.9688281662917757,986.6405605976333,LOSS,2025-12-26 07:25:00,7,London
BUY,4512.464,4512.464,4521.667332045738,0.0,986.6405605976333,BE,2025-12-26 08:07:00,8,London
SELL,4514.03,4517.384817266629,4500.610730933481,-2.9599216817929,983.6806389158404,LOSS,2025-12-26 09:43:00,9,London
BUY,4518.023999999999,4514.338341946761,4532.7666322129535,-2.9510419167475215,980.7295969990929,LOSS,2025-12-26 10:13:00,10,London
SELL,4514.493,4514.493,4497.105222366712,0.0,980.7295969990929,BE,2025-12-26 10:46:00,10,London
BUY,4510.937,4507.615448527757,4524.223205888973,-2.9421887909972786,977.7874082080956,LOSS,2025-12-26 12:15:00,12,London
SELL,4516.638,4524.902026292708,4483.581894829168,-2.933362224624287,974.8540459834713,LOSS,2025-12-26 14:48:00,14,NewYork
BUY,4528.693,4528.693,4555.970892792296,0.0,974.8540459834713,BE,2025-12-26 15:07:00,15,NewYork
SELL,4538.329,4542.162483777938,4522.995064888246,-2.924562137950414,971.929483845521,LOSS,2025-12-26 16:49:00,16,NewYork
BUY,4522.532999999999,4522.532999999999,4535.62072558438,11.663153806146251,983.5926376516672,WIN,2025-12-26 18:38:00,18,NewYork
SELL,4522.219,4529.363825694034,4493.6396972238645,-2.950777912955002,980.6418597387122,LOSS,2025-12-26 19:37:00,19,NewYork
BUY,4531.724999999999,4525.419297198557,4556.94781120577,-2.9419255792161367,977.6999341594961,LOSS,2025-12-26 20:08:00,20,NewYork
SELL,4522.869,4528.541452170608,4500.179191317567,-2.933099802478488,974.7668343570176,LOSS,2025-12-26 20:28:00,20,NewYork
BUY,4530.605,4526.226540184116,4548.118839263534,-2.924300503071053,971.8425338539465,LOSS,2025-12-26 20:45:00,20,NewYork
SELL,4534.348,4534.348,4525.102431153848,11.662110406247358,983.5046442601939,WIN,2025-12-28 23:42:00,23,Sydney
BUY,4511.199,4503.682274620271,4541.265901518916,-2.9505139327805816,980.5541303274133,LOSS,2025-12-29 01:13:00,1,Tokyo
SELL,4499.65,4506.785395110139,4471.108419559443,-2.94166239098224,977.612467936431,LOSS,2025-12-29 01:30:00,1,Tokyo
BUY,4507.872,4507.872,4531.805039308995,0.0,977.612467936431,BE,2025-12-29 02:06:00,2,Tokyo
SELL,4511.687,4515.7032815095845,4495.621873961662,-2.9328374038092933,974.6796305326217,LOSS,2025-12-29 04:08:00,4,Tokyo
BUY,4518.9529999999995,4513.08696398375,4542.417144064997,-2.9240388915978652,971.7555916410238,LOSS,2025-12-29 04:35:00,4,Tokyo
SELL,4512.972,4515.8010296623,4501.6558813508,-2.915266774923071,968.8403248661007,LOSS,2025-12-29 05:04:00,5,Tokyo
BUY,4515.599,4513.304545380282,4524.776818478871,-2.906520974598302,965.9338038915024,LOSS,2025-12-29 05:33:00,5,Tokyo
SELL,4511.187,4511.187,4492.284880183421,11.591205646698029,977.5250095382005,WIN,2025-12-29 05:56:00,5,Tokyo
BUY,4483.104,4474.803932295334,4516.304270818667,-2.9325750286146017,974.5924345095859,LOSS,2025-12-29 08:14:00,8,London
SELL,4471.242,4471.242,4439.729529987426,0.0,974.5924345095859,BE,2025-12-29 08:39:00,8,London
BUY,4475.659,4465.245906040348,4517.311375838606,-2.923777303528758,971.6686572060572,LOSS,2025-12-29 09:45:00,9,London
SELL,4467.745,4467.745,4455.290519100964,11.660023886472686,983.3286810925299,WIN,2025-12-29 10:26:00,10,London
BUY,4465.479,4461.122299615923,4482.905801536309,-2.94998604327759,980.3786950492523,LOSS,2025-12-29 11:24:00,11,London
SELL,4457.289,4457.289,4432.728430945265,0.0,980.3786950492523,BE,2025-12-29 11:38:00,11,London
BUY,4454.2519999999995,4454.2519999999995,4461.367565608026,11.764544340591028,992.1432393898433,WIN,2025-12-29 12:28:00,12,London
SELL,4454.766,4454.766,4430.9810736833715,11.905718872678122,1004.0489582625214,WIN,2025-12-29 13:21:00,13,London
BUY,4336.794,4332.286653919406,4354.823384322377,-3.0121468747875637,1001.0368113877338,LOSS,2025-12-29 16:31:00,16,NewYork
SELL,4330.117,4330.117,4299.518139819449,0.0,1001.0368113877338,BE,2025-12-29 17:11:00,17,NewYork
BUY,4330.197999999999,4326.307455356434,4345.760178574262,-3.0031104341632013,998.0337009535706,LOSS,2025-12-29 18:06:00,18,NewYork
SELL,4329.014,4331.021041941529,4320.985832233885,-2.9941011028607116,995.0395998507099,LOSS,2025-12-29 19:11:00,19,NewYork
BUY,4331.197999999999,4331.197999999999,4339.619331531662,0.0,995.0395998507099,BE,2025-12-29 19:12:00,19,NewYork
SELL,4328.377,4338.421338876524,4288.199644493907,-2.9851187995521298,992.0544810511578,LOSS,2025-12-29 20:38:00,20,NewYork
BUY,4337.517,4333.6907710941,4352.821915623601,-2.9761634431534736,989.0783176080043,LOSS,2025-12-29 21:12:00,21,NewYork
SELL,4334.084,4334.084,4327.034687814478,0.0,989.0783176080043,BE,2025-12-29 21:26:00,21,NewYork
BUY,4338.576,4331.663139818689,4366.2274407252435,-2.967234952824013,986.1110826551803,LOSS,2025-12-29 23:04:00,23,Sydney
SELL,4329.03,4336.038857188656,4300.994571245375,-2.958333247965541,983.1527494072147,LOSS,2025-12-29 23:22:00,23,Sydney
BUY,4338.42,4338.42,4359.1525426262215,0.0,983.1527494072147,BE,2025-12-29 23:46:00,23,Sydney
SELL,4340.372,4340.372,4323.980037612536,0.0,983.1527494072147,BE,2025-12-30 00:48:00,0,Tokyo
BUY,4341.702,4341.702,4360.128260694742,11.797832992886578,994.9505824001013,WIN,2025-12-30 01:41:00,1,Tokyo
SELL,4357.893,4363.6211759281605,4334.980296287358,-2.984851747200304,991.965730652901,LOSS,2025-12-30 03:55:00,3,Tokyo
BUY,4363.016,4363.016,4372.94334053991,0.0,991.965730652901,BE,2025-12-30 04:24:00,4,Tokyo
SELL,4362.194,4364.769114121609,4351.893543513565,-2.975897191958703,988.9898334609424,LOSS,2025-12-30 05:03:00,5,Tokyo
BUY,4366.577,4366.577,4382.88727733241,0.0,988.9898334609424,BE,2025-12-30 05:21:00,5,Tokyo
SELL,4369.138,4374.789766607813,4346.530933568746,-2.9669695003828265,986.0228639605596,LOSS,2025-12-30 06:19:00,6,Tokyo
BUY,4372.512,4364.984865164344,4402.620539342622,-2.9580685918816787,983.0647953686779,LOSS,2025-12-30 07:19:00,7,London
SELL,4367.168,4371.932160356187,4348.111358575252,-2.9491943861060337,980.1156009825719,LOSS,2025-12-30 08:07:00,8,London
BUY,4372.785,4370.167790839211,4383.2538366431545,-2.9403468029477158,977.1752541796242,LOSS,2025-12-30 08:13:00,8,London
SELL,4369.396,4369.396,4358.858491675225,11.72610305015549,988.9013572297797,WIN,2025-12-30 08:17:00,8,London
BUY,4364.73,4364.73,4376.141676477306,11.866816286757357,1000.7681735165371,WIN,2025-12-30 09:03:00,9,London
SELL,4382.997,4386.624785779154,4368.485856883385,-3.0023045205496115,997.7658689959875,LOSS,2025-12-30 11:49:00,11,London
BUY,4387.246,4387.246,4399.280780413957,11.97319042795185,1009.7390594239394,WIN,2025-12-30 12:08:00,12,London
SELL,4393.147,4393.147,4372.615738592197,12.116868713087273,1021.8559281370266,WIN,2025-12-30 13:23:00,13,London
BUY,4390.9929999999995,4385.837895646858,4411.613417412566,-3.0655677844110802,1018.7903603526155,LOSS,2025-12-30 14:31:00,14,NewYork
SELL,4385.734,4385.734,4377.629414499275,0.0,1018.7903603526155,BE,2025-12-30 14:32:00,14,NewYork
BUY,4368.95,4364.293637699498,4387.575449202009,-3.0563710810578466,1015.7339892715577,LOSS,2025-12-30 16:28:00,16,NewYork
SELL,4368.058,4373.2198785433975,4347.41048582641,-3.047201967814673,1012.686787303743,LOSS,2025-12-30 17:42:00,17,NewYork
BUY,4377.733,4369.984340242974,4408.727639028104,-3.038060361911229,1009.6487269418318,LOSS,2025-12-30 18:06:00,18,NewYork
