<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.15	00:00:00	1549.489	1558.082	1546.340	1556.252	59033	0	0
2020.01.16	00:00:00	1556.272	1558.037	1547.955	1552.144	53626	0	0
2020.01.17	00:00:00	1552.147	1561.156	1549.343	1557.074	51479	0	0
2020.01.19	00:00:00	1558.947	1558.947	1556.292	1556.980	1805	0	0
2020.01.20	00:00:00	1556.975	1562.650	1556.627	1561.177	35282	0	0
2020.01.21	00:00:00	1561.174	1568.507	1546.314	1556.466	62690	0	0
2020.01.22	00:00:00	1556.421	1563.677	1550.135	1561.367	54346	0	0
2020.01.23	00:00:00	1561.378	1567.864	1551.892	1560.889	57428	0	0
2020.01.24	00:00:00	1560.883	1575.728	1556.513	1571.508	52558	0	0
2020.01.26	00:00:00	1581.234	1588.516	1581.234	1582.664	4435	0	0
2020.01.27	00:00:00	1582.704	1586.182	1575.831	1581.060	64147	0	0
2020.01.28	00:00:00	1581.057	1582.959	1565.520	1568.436	58734	0	0
2020.01.29	00:00:00	1568.450	1577.879	1563.318	1577.019	53920	0	0
2020.01.30	00:00:00	1577.001	1585.868	1572.230	1575.100	66323	0	0
2020.01.31	00:00:00	1575.101	1589.308	1570.919	1586.766	59342	0	0
2020.02.02	00:00:00	1588.544	1592.017	1587.972	1589.412	3041	0	0
2020.02.03	00:00:00	1589.377	1589.979	1569.346	1578.756	64731	0	0
2020.02.04	00:00:00	1578.768	1579.535	1549.005	1554.073	60413	0	0
2020.02.05	00:00:00	1554.056	1562.305	1547.479	1556.064	61703	0	0
2020.02.06	00:00:00	1556.024	1568.148	1552.461	1565.753	55232	0	0
2020.02.07	00:00:00	1565.757	1573.935	1560.256	1570.145	57061	0	0
2020.02.09	00:00:00	1569.258	1576.551	1569.028	1574.764	2835	0	0
2020.02.10	00:00:00	1574.725	1576.918	1567.939	1571.928	51494	0	0
2020.02.11	00:00:00	1571.929	1573.923	1562.134	1567.034	51153	0	0
2020.02.12	00:00:00	1566.989	1571.314	1561.820	1569.830	49346	0	0
2020.02.13	00:00:00	1569.767	1578.198	1569.100	1577.307	56462	0	0
2020.02.14	00:00:00	1577.266	1584.899	1573.014	1583.991	47660	0	0
2020.02.16	00:00:00	1581.444	1583.045	1580.429	1582.913	1717	0	0
2020.02.17	00:00:00	1582.920	1585.381	1578.824	1584.221	29285	0	0
2020.02.18	00:00:00	1584.228	1605.016	1584.178	1600.794	53213	0	0
2020.02.19	00:00:00	1600.790	1612.845	1599.466	1610.321	56964	0	0
2020.02.20	00:00:00	1610.317	1623.635	1603.853	1622.098	64165	0	0
2020.02.21	00:00:00	1622.072	1649.102	1618.908	1643.319	66571	0	0
2020.02.23	00:00:00	1659.760	1680.967	1657.703	1665.512	5109	0	0
2020.02.24	00:00:00	1665.489	1689.213	1650.801	1653.900	95124	0	0
2020.02.25	00:00:00	1653.860	1658.684	1624.934	1639.815	107178	0	0
2020.02.26	00:00:00	1639.809	1654.877	1624.966	1643.493	94173	0	0
2020.02.27	00:00:00	1643.507	1660.254	1635.286	1645.695	98611	0	0
2020.02.28	00:00:00	1645.667	1648.052	1562.889	1586.023	130845	0	0
2020.03.01	00:00:00	1582.112	1588.335	1575.451	1584.992	4753	0	0
2020.03.02	00:00:00	1584.922	1610.863	1581.675	1591.957	103064	0	0
2020.03.03	00:00:00	1591.903	1652.804	1589.641	1645.697	110324	0	0
2020.03.04	00:00:00	1645.687	1649.283	1631.719	1636.644	86924	0	0
2020.03.05	00:00:00	1636.576	1674.860	1635.574	1674.536	79351	0	0
2020.03.06	00:00:00	1674.495	1691.979	1642.218	1674.320	136871	0	0
2020.03.08	00:00:00	1696.280	1703.179	1679.712	1700.043	12186	0	0
2020.03.09	00:00:00	1700.049	1702.953	1657.450	1666.506	154543	0	0
2020.03.10	00:00:00	1666.535	1671.382	1641.572	1652.331	122470	0	0
2020.03.11	00:00:00	1652.318	1671.183	1633.070	1643.612	102424	0	0
2020.03.12	00:00:00	1643.655	1650.253	1560.721	1576.856	175125	0	0
2020.03.13	00:00:00	1576.861	1597.735	1504.669	1529.245	186926	0	0
2020.03.15	00:00:00	1551.879	1575.370	1540.122	1557.510	20018	0	0
